Image Name                              PID        Session Name      Session Number      Memory Usage      
svchost.exe                             4844       Services          0                   7,100 K           
svchost.exe                             4852       Services          0                   14,384 K          
svchost.exe                             4864       Services          0                   15,128 K          
svchost.exe                             4888       Services          0                   27,812 K          
svchost.exe                             4924       Services          0                   9,104 K           
svchost.exe                             5940       Services          0                   16,516 K          
svchost.exe                             6520       Services          0                   9,660 K           
svchost.exe                             6836       Console           1                   14,888 K          
svchost.exe                             7244       Console           1                   11,020 K          
svchost.exe                             7252       Console           1                   33,676 K          
svchost.exe                             7336       Console           1                   10,744 K          
svchost.exe                             7388       Console           1                   38,636 K          
svchost.exe                             7524       Services          0                   25,712 K          
svchost.exe                             784        Services          0                   32,580 K          
svchost.exe                             8148       Services          0                   26,212 K          
svchost.exe                             8640       Console           1                   21,764 K          
svchost.exe                             8792       Console           1                   29,144 K          
svchost.exe                             8812       Console           1                   33,648 K          
svchost.exe                             8872       Services          0                   14,744 K          
svchost.exe                             9636       Services          0                   8,252 K           
svchost.exe                             9992       Services          0                   16,076 K          
taskhostw.exe                           2660       Console           1                   22,440 K          
taskhostw.exe                           7448       Console           1                   22,520 K          
tasklist.exe                            15296      Console           1                   12,284 K          
wininit.exe                             724        Services          0                   7,884 K           
winlogon.exe                            1132       Console           1                   14,560 K          
winpty-agent.exe                        19424      Console           1                   8,856 K           
wlanext.exe                             4556       Services          0                   7,912 K           
